517;MIN;MIL;96;102;December 28, 2017
518;DET;ORL;89;102;December 28, 2017
519;PHI;POR;110;114;December 28, 2017
520;NYK;SAS;107;119;December 28, 2017
521;IND;CHI;107;119;December 29, 2017
522;CHA;GSW;111;100;December 29, 2017
523;LAC;LAL;121;106;December 29, 2017
524;BKN;MIA;111;87;December 29, 2017
525;DAL;NOP;128;120;December 29, 2017
526;MIL;OKC;97;95;December 29, 2017
527;PHX;SAC;111;101;December 29, 2017
528;ATL;TOR;98;111;December 29, 2017
529;HOU;WAS;103;121;December 29, 2017
530;POR;ATL;89;104;December 30, 2017
531;PHI;DEN;107;102;December 30, 2017
532;SAS;DET;79;93;December 30, 2017
533;MEM;GSW;128;141;December 30, 2017
534;NYK;NOP;105;103;December 30, 2017
535;MIA;ORL;117;111;December 30, 2017
536;CLE;UTA;101;104;December 30, 2017
537;BKN;BOS;105;108;December 31, 2017
538;LAL;HOU;142;148;December 31, 2017
539;MIN;IND;107;90;December 31, 2017
540;CHA;LAC;98;106;December 31, 2017
541;DAL;OKC;116;113;December 31, 2017
542;PHI;PHX;123;110;December 31, 2017
543;MEM;SAC;114;96;December 31, 2017
544;CHI;WAS;110;114;December 31, 2017
545;ORL;BKN;95;98;January 1, 2018
546;POR;CHI;124;120;January 1, 2018
547;LAL;MIN;96;114;January 1, 2018
548;MIL;TOR;127;131;January 1, 2018
549;POR;CLE;110;127; January 2, 2018
550;MEM;LAC;105;113; January 2, 2018
551;SAS;NYK;100;91; January 2, 2018
552;ATL;PHX;103;104; January 2, 2018
553;CHA;SAC;131;111; January 2, 2018
554;CLE;BOS;88;102;January 3, 2018
555;MIN;BKN;97;98;January 3, 2018
556;TOR;CHI;124;115;January 3, 2018
557;GSW;DAL;125;122;January 3, 2018
558;PHX;DEN;111;134;January 3, 2018
559;OKC;LAL;133;96;January 3, 2018
560;DET;MIA;104;111;January 3, 2018
561;IND;MIL;101;122;January 3, 2018
562;HOU;ORL;116;98;January 3, 2018
563;SAS;PHI;106;112;January 3, 2018
564;NOP;UTA;108;98;January 3, 2018
565;NYK;WAS;103;121;January 3, 2018
566;GSW;HOU;124;114;January 4, 2018
567;OKC;LAC;127;117;January 4, 2018
568;MIN;BOS;84;91;January 5, 2018
569;CHI;DAL;127;124;January 5, 2018
570;UTA;DEN;91;99;January 5, 2018
571;CHA;LAL;108;94;January 5, 2018
572;WAS;MEM;102;100;January 5, 2018
573;NYK;MIA;103;107;January 5, 2018
574;TOR;MIL;129;110;January 5, 2018
575;DET;PHI;78;114;January 5, 2018
576;ATL;POR;89;110;January 5, 2018
577;PHX;SAS;89;103;January 5, 2018
578;BOS;BKN;87;85;January 6, 2018
579;HOU;DET;101;108;January 6, 2018
580;CHI;IND;86;125;January 6, 2018
581;GSW;LAC;121;105;January 6, 2018
